Criteria: NWIG, Max Depth: 0
Node: 14, Depth: 3
Avg Accuracy: 86.6667
Criteria: NWIG, Max Depth: 1
Node: 4, Depth: 0
Avg Accuracy: 83.3333
Criteria: NWIG, Max Depth: 2
Node: 8, Depth: 0
Avg Accuracy: 93.3333
Criteria: NWIG, Max Depth: 3
Node: 14, Depth: 0
Avg Accuracy: 93.3333
Criteria: NWIG, Max Depth: 4
Node: 9, Depth: 0
Avg Accuracy: 90
Criteria: NWIG, Max Depth: 5
Node: 14, Depth: 0
Avg Accuracy: 90
Criteria: NWIG, Max Depth: 6
Node: 14, Depth: 0
Avg Accuracy: 100
Criteria: NWIG, Max Depth: 7
Node: 14, Depth: 0
Avg Accuracy: 93.3333
Criteria: NWIG, Max Depth: 8
Node: 14, Depth: 0
Avg Accuracy: 93.3333
Criteria: IG, Max Depth: 3
Node: 14, Depth: 0
Avg Accuracy: 86.6667
Criteria: IG, Max Depth: 1
Node: 4, Depth: 0
Avg Accuracy: 93.3333
Criteria: IG, Max Depth: 2
Node: 8, Depth: 0
Avg Accuracy: 96.6667
Criteria: IG, Max Depth: 3
Node: 10, Depth: 0
Avg Accuracy: 90
Criteria: GINI, Max Depth: 3
Node: 15, Depth: 0
Avg Accuracy: 83.3333
Criteria: GINI, Max Depth: 3
Node: 18, Depth: 0
Avg Accuracy: 83.3333
